id1,id2,title1,title2,narrative,overall,cosine_similarity
1484084337,1484110209,Virginia man arrested in fatal DUI crash in West Virginia,Haiti’s leader marks independence day amid security concerns,4.0,4.0,0.272475004196167
1484396422,1483924666,Guyana: Three injured after car crashes into utility pole,Fire kills more than 30 animals at zoo in western Germany,4.0,3.6666666666666665,0.5614322423934937
1484698254,1483758694,Trump Brings In 2020 At Mar-a-Lago: ‘We’re Going To Have A Great Year’,"Trump says he does not expect war with Iran, ‘likes peace’",2.333333333333333,2.333333333333333,0.4469289183616638
1576314516,1576455088,Zomato Buys Uber's Food Delivery Business in India in an All-Stock Deal,"Indian Online Food Delivery Market to Hit $8 Billion by 2022: Google, BCG Report",1.6666666666666667,2.0,0.6868603229522705
1484036253,1483894099,"India approves third moon mission, months after landing failure",India targets new moon mission in 2020,1.25,1.25,0.634452223777771
1484189120,1484113136,Wiesenthal Center Calls for FBI Task Force to Deal with Anti-Semitism,Jewish Groups React to Monsey Stabbings,1.75,2.0,0.5207051038742065
1484034982,1483785560,Big cut on import duty on crude and refined palm oils; Industry says move to hurt domestic refiners,Delhi weather update: Delhiites shiver at 2.4 deg Celsius,4.0,3.6666666666666665,0.4149573743343353
1484188439,1484378177,The biggest business con of 2019: fleecing workers while bosses get rich,The left’s constant victimhood olympics is a gift to anti-Semites,3.6666666666666665,3.333333333333333,0.6076332330703735
1484011751,1483920335,"The Compatriots: The Brutal and Chaotic History of Russia's Exiles, Émigrés, and Agents Abroad: Soldatov, Andrei, Borogan, Irina: 9781541730168: Amazon.com: Books","The Red Web: The Kremlin's Wars on the Internet: Soldatov, Andrei, Borogan, Irina: 9781610399579: Amazon.com: Books",1.0,4.0,0.7921047210693359
1484035244,1483938857,"Had met PM, done whatever I could on Mahadayi issue: Goa Guv",Increase in train fare New Year gift from central government: Siddaramaiah,4.0,3.333333333333333,0.37976789474487305
1484396075,1483794933,"Agnico CEO Sean Boyd on succession planning, investing in the North, and working in -79C wind chill",Gold miners set to build on record year for mergers and acquisitions,3.333333333333333,2.6666666666666665,0.5689921379089355
1484188343,1484127315,Spike Island visitor numbers treble in three years,Taoiseach makes first general election campaign pitch in New Year video,4.0,3.6666666666666665,0.47839850187301636
1484009938,1484201603,Venadash Institute of Decorative Arts graduates 22 women,Christianity Today’s Most Popular Articles of the Decade,4.0,4.0,0.31037288904190063
